k_number,decision_date,date_received,product_code,applicant,device_name,decision_description,clearance_type,advisory_committee_description,country_code,state,expedited_review_flag,third_party_flag,statement_or_summary,pdf_url
K022569,2002-08-29,2002-08-02,GEX,Medical Bio Care Sweden AB,PROLITE/PLASMALITE MPX PULSED LIGHT SYSTEM FOR TREATMENT OF VASCULAR LESIONS,Substantially Equivalent,Special,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022569
K022568,2002-08-29,2002-08-02,GEX,Medical Bio Care Sweden AB,PROLITE/PLASMALITE MPX PULSED LIGHT SYSTEM FOR TREATMENT OF UNWANTED HAIR,Substantially Equivalent,Special,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022568
K021304,2002-07-23,2002-04-24,GEX,"Big Sky Laser Technologies, Inc.",PROLITE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MT,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K021304
K020453,2002-05-10,2002-02-11,GEX,"Palomar Medical Technologies, Inc.",PALOMAR ESTELUX PULSED LIGHT SYSTEM AND PALOMAR COOLROLLER,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NC,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K020453
K013366,2002-01-08,2001-10-10,GEX,Medical Bio Care Sweden AB,PROLITE PULSED LIGHT SYSTEM FOR THE REMOVAL OF UNWANTED HAIR,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K013366
K013365,2002-01-08,2001-10-10,GEX,Medical Bio Care Sweden AB,PROLITE PULSED LIGHT SYSTEM FOR THE TREATMENT OF PIGMENTED LESIONS AND THE REMOVAL OF TATTOOS,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K013365
K010618,2001-09-10,2001-03-01,GEX,Palomar,PALOMAR DERMALUX PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NC,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010618
K010928,2001-06-19,2001-03-28,GEX,Medical Bio Care Sweden AB,PROLITE VL PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010928
K010927,2001-06-19,2001-03-28,GEX,Medical Bio Care Sweden AB,MODIFICATION TO PROLITE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010927
K003886,2001-03-01,2000-12-18,GEX,"Palomar Medical Technologies, Inc.",PALOMAR SPALIGHT PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NC,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003886
K000929,2000-10-17,2000-03-22,GEX,Medical Bio Care Sweden AB,PROLITE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NM,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000929
K002072,2000-09-11,2000-07-07,GEX,Medical Bio Care Sweden AB,PROLITE VL PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NM,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002072
K994014,2000-02-24,1999-11-26,GEX,"Esc Medical Systems , Ltd.",ESC INTENSE PULSED LIGHT SYSTEMS: EPILIGHT AND MULTILIGHT,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K994014
